Nombre,Precio,Zocalo,Forma_Factor,Memoria_Max,Ranuras_Memoria
MSI MAG Z690 TOMAHAWK WIFI,353.74,LGA1700,0,192,4
Asus ROG Strix X570-E Gaming,609.0,AM4,0,128,4
Asus TUF GAMING X570-PLUS,309.99,AM4,0,128,4
ASRock X570 Pro4,129.99,AM4,0,128,4
Asus PRIME B660M-A AC D4,149.99,LGA1700,2,128,4
Gigabyte B760 DS3H AX,203.35,LGA1700,0,192,4
Asus PRIME Z690-A,244.95,LGA1700,0,192,4
Gigabyte Z690 GAMING X DDR4,309.0,LGA1700,0,128,4
Asus PRIME Z690-P WIFI,270.0,LGA1700,0,192,4
ASRock B450 Pro4,155.0,AM4,0,64,4
MSI PRO B760-P DDR4 II,175.47,LGA1700,0,128,4
MSI MEG Z790 GODLIKE,1152.77,LGA1700,1,192,4
Asus ROG STRIX Z690-F GAMING WIFI,326.0,LGA1700,0,192,4
Gigabyte B760 DS3H AX DDR4,176.46,LGA1700,0,128,4
Asus PRIME B660M-K D4,124.38,LGA1700,2,64,2
ASRock Z790 PG-ITX/TB4,382.78,LGA1700,4,96,2
Gigabyte H610M H V3 DDR4,99.65,LGA1700,2,64,2
Asus PRIME A620M-K,116.3,AM5,2,96,2
Gigabyte Z690 AERO G DDR4,289.6,LGA1700,0,128,4
ASRock Z790 Taichi Lite,341.99,LGA1700,1,192,4
Asus TUF GAMING B650M-PLUS,240.41,AM5,2,192,4
ASRock X570S PG Riptide,184.99,AM4,0,128,4
Asus ROG MAXIMUS Z790 HERO EVA-02 EDITION,872.19,LGA1700,0,192,4
MSI B350M BAZOOKA,151.94,AM4,2,64,4
Gigabyte B760 DS3H AC,154.99,LGA1700,0,192,4
Asus PRIME B550M-A/CSM,109.99,AM4,2,128,4
Gigabyte A520M H,85.76,AM4,2,64,2
MSI MPG Z690 FORCE WIFI,199.0,LGA1700,0,192,4
Asus Strix B550-XE Gaming WiFi,219.99,AM4,0,128,4
Asus PRIME Z490-P,199.99,LGA1200,0,128,4
Asus Prime X299-A II,245.99,LGA2066,0,256,8
Asus ProArt B760-CREATOR WIFI,239.99,LGA1700,0,192,4
ASRock B760M PG Lightning Wifi,169.0,LGA1700,2,192,4
ASRock A620M-HDV/M.2+,129.85,AM5,2,96,2
Asus TUF GAMING B660M-PLUS WIFI D4,165.45,LGA1700,2,128,4
Asus ROG Crosshair VIII Hero (WI-FI),597.0,AM4,0,128,4
Asus TUF GAMING B660M-PLUS WIFI,239.02,LGA1700,2,192,4
ASRock B550 Steel Legend,159.99,AM4,0,128,4
MSI MAG B760M MORTAR WIFI,199.99,LGA1700,2,192,4
MSI MPG Z690 CARBON WIFI,440.0,LGA1700,0,192,4
ASRock X570 Taichi,218.99,AM4,0,128,4
ASRock X570 Steel Legend,139.99,AM4,0,128,4
Asus TUF GAMING B550-PLUS (WI-FI),289.0,AM4,0,128,4
Gigabyte A620M DS3H,144.59,AM5,2,192,4
Asus PRIME B550M-A,134.09,AM4,2,128,4
ASRock B760M PG Lightning/D4,109.99,LGA1700,2,128,4
MSI MPG Z790 EDGE WIFI DDR4,379.88,LGA1700,0,128,4
Asus ROG MAXIMUS Z690 HERO,499.99,LGA1700,0,192,4
Gigabyte B650 Gaming X,225.01,AM5,0,192,4
MSI X570-A PRO,159.99,AM4,0,128,4
Gigabyte H610I DDR4,138.66,LGA1700,4,64,2
Asus PRIME Z690-P D4,311.0,LGA1700,0,128,4
Gigabyte B550 VISION D-P,347.05,AM4,0,128,4
Supermicro X11SCL-IF,232.99,LGA1151,4,64,2
MSI Z590-A PRO,317.15,LGA1200,0,128,4
Gigabyte A620M GAMING X AX,201.7,AM5,2,192,4
Asus PRIME B760M-K D4,147.08,LGA1700,2,64,2
Gigabyte H610M K DDR4,99.61,LGA1700,2,64,2
MSI MPG X570 GAMING PRO CARBON WIFI,575.0,AM4,0,128,4
Gigabyte H510M H V2,90.16,LGA1200,2,64,2
MSI PRO B760-P WIFI,159.0,LGA1700,0,192,4
ASRock Z790M PG LIGHTNING/D4,159.99,LGA1700,2,128,4
MSI MPG Z390 GAMING PRO CARBON,365.0,LGA1151,0,128,4
Gigabyte B760 GAMING X,210.92,LGA1700,0,192,4
Asus H110M-C/CSM,169.99,LGA1151,2,32,2
MSI PRO Z690-P DDR4,169.99,LGA1700,0,128,4
Gigabyte B550 AORUS PRO AC,306.49,AM4,0,128,4
Asus ROG STRIX B550-E GAMING,270.0,AM4,0,128,4
ASRock X570 Taichi Razer Edition,235.99,AM4,0,128,4
ASRock Z790 PG SONIC,198.99,LGA1700,0,192,4
Asus Pro WS X299 SAGE II,841.82,LGA2066,5,256,8
NZXT N7-Z69XT-B1,269.99,LGA1700,0,128,4
MSI Z270-A PRO,450.0,LGA1151,0,64,4
MSI MPG B560I GAMING EDGE WIFI,326.55,LGA1200,4,64,2
Gigabyte B760M H DDR4,125.65,LGA1700,2,64,2
ASRock B550 PG Velocita,129.99,AM4,0,128,4
Asus ROG MAXIMUS Z690 FORMULA,525.0,LGA1700,0,192,4
Asus TUF Z390-PLUS GAMING (WI-FI),342.0,LGA1151,0,128,4
Gigabyte Z690 AORUS ELITE AX,260.44,LGA1700,0,192,4
Gigabyte B760M GAMING X DDR4,168.71,LGA1700,2,128,4
Supermicro X9SRI-F-O,545.49,LGA2011,0,64,8
MSI A520M PRO,86.87,AM4,2,64,2
Asus TUF B450-PLUS GAMING,185.0,AM4,0,64,4
ASRock Z690 Taichi,209.99,LGA1700,0,192,4
Biostar B450MH,95.49,AM4,2,32,2
Asus PRIME B650M-A AX,191.76,AM5,2,128,4
Asus PRIME H610M-E D4-CSM,99.99,LGA1700,2,64,2
Gigabyte B760M GAMING X AX,210.92,LGA1700,2,192,4
Asus ProArt B550-CREATOR,239.0,AM4,0,128,4
ASRock Z690 Steel Legend WiFi 6E/D5,189.99,LGA1700,0,192,4
Supermicro MBD-X10DRI-O,657.0,2 x LGA2011-3 Narrow,1,1024,16
Asus PRIME A620M-A-CSM,129.99,AM5,2,192,4
Asus ROG Crosshair VIII Hero,449.99,AM4,0,128,4
Gigabyte X570 GAMING X,287.89,AM4,0,128,4
Asus PRIME B650M-K,184.49,AM5,2,96,2
ASRock Z790 LiveMixer,189.99,LGA1700,0,192,4
Asus PRIME B760M-A D4,144.99,LGA1700,2,128,4
Asus PRIME H510M-A,131.95,LGA1200,2,64,2
ASRock B650E TAICHI,369.99,AM5,1,192,4
Asus PRIME Z690-P WIFI D4,199.99,LGA1700,0,128,4
MSI PRO B660M-A DDR4,289.0,LGA1700,2,128,4
ASRock Z790 Taichi Carrara,631.54,LGA1700,1,192,4
Asus PRIME Z270-P,355.99,LGA1151,0,64,4
Asus PRIME H610M-A D4-CSM,109.99,LGA1700,2,64,2
MSI MAG Z590 TORPEDO,238.98,LGA1200,0,128,4
ASRock A620M Pro RS,145.35,AM5,2,192,4
ASRock H610M-HDV,90.9,LGA1700,2,64,2
Gigabyte X670 GAMING X AX (rev. 1.0),318.58,AM5,0,192,4
Asus TUF GAMING B760M-PLUS D4,212.6,LGA1700,2,128,4
Gigabyte Z690 AERO G,262.35,LGA1700,0,128,4
Asus PRIME H670-PLUS D4,199.99,LGA1700,0,128,4
Asus PROART B760-CREATOR D4,179.99,LGA1700,0,128,4
Gigabyte B760M DS3H,164.0,LGA1700,2,192,4
Asus MAXIMUS Z690 HERO EVA,479.99,LGA1700,0,128,4
Asus TUF GAMING B450M-PRO II,196.57,AM4,2,128,4
ASRock Z690 Taichi Razer Edition,169.99,LGA1700,0,192,4
Gigabyte Z790 UD,255.38,LGA1700,0,192,4
MSI MAG Z490 TOMAHAWK,355.0,LGA1200,0,128,4
Gigabyte Z790 D DDR4,169.99,LGA1700,0,128,4
Asus Pro H510M-CT/CSM,89.99,LGA1200,2,64,2
ASRock Z790 Pro RS/D4,203.99,LGA1700,0,128,4
Gigabyte B650M S2H,237.17,AM5,2,96,2
MSI MPG Z690 EDGE WIFI,299.99,LGA1700,0,192,4
Asus ROG MAXIMUS X FORMULA,911.0,LGA1151,0,128,4
Asus TUF B450M-PLUS GAMING,289.0,AM4,2,64,4
Gigabyte B550 AORUS ELITE,223.24,AM4,0,128,4
MSI MPG X570S EDGE MAX WIFI,412.03,AM4,0,128,4
MSI PRO H610M-G,119.99,LGA1700,2,96,2
MSI MAG B660M MORTAR DDR4,196.71,LGA1700,2,128,4
ASRock H610M-HVS/M.2 R2.0,102.77,LGA1700,2,64,2
MSI MAG Z390 TOMAHAWK,249.99,LGA1151,0,128,4
ASRock X299 Taichi CLX,219.99,LGA2066,0,256,8
Asus PRIME H570M-PLUS/CSM,161.38,LGA1200,2,128,4
Asus Prime Z370-P,335.99,LGA1151,0,64,4
Intel DH61AG,163.08,LGA1155,7,16,2
Gigabyte Z490 AORUS ELITE,279.0,LGA1200,0,128,4
Asus PRIME B660M-A D4,159.67,LGA1700,2,128,4
ASRock Z690 Phantom Gaming 4,143.99,LGA1700,0,128,4
Gigabyte Z590 UD AC,307.39,LGA1200,0,128,4
Gigabyte Z790 GAMING X,297.55,LGA1700,0,192,4
Gigabyte B760 AORUS ELITE AX DDR4,250.66,LGA1700,0,128,4
ASRock Z790 Taichi,604.87,LGA1700,1,192,4
Gigabyte Z390 AORUS ELITE,284.99,LGA1151,0,128,4
ASRock AB350M Pro4,220.5,AM4,2,64,4
MSI B550M PRO-VDH,134.66,AM4,2,128,4
Biostar H610MH,119.99,LGA1700,2,64,2
Asus ROG Strix X299-E Gaming II,457.58,LGA2066,0,256,8
Asus ROG MAXIMUS XII HERO (WI-FI),559.99,LGA1200,0,128,4
Gigabyte X570S AERO G,527.9,AM4,0,128,4
Asus TUF GAMING H570-PRO WIFI,159.99,LGA1200,0,128,4
Asus PRIME B450M-A/CSM,188.0,AM4,2,64,4
Gigabyte B660I AORUS Pro DDR4,345.76,LGA1700,4,64,2
Asus TUF GAMING Z790-PLUS D4,314.81,LGA1700,0,128,4
Asus PRIME H610M-E D4,116.29,LGA1700,2,64,2
Asus TUF GAMING B550M-PLUS (WI-FI),275.49,AM4,2,128,4
Asus TUF GAMING Z690-PLUS D4,308.49,LGA1700,0,128,4
Asus TUF GAMING H770-PRO WIFI,271.66,LGA1700,0,192,4
Asus ROG STRIX B660-F GAMING WIFI,272.84,LGA1700,0,192,4
Asus ROG MAXIMUS Z690 APEX,699.95,LGA1700,0,96,2
Asus PRIME H770-PLUS D4,213.02,LGA1700,0,128,4
Asus TUF GAMING Z490-PLUS (WI-FI),309.0,LGA1200,0,128,4
MSI Z270 GAMING PRO CARBON,406.49,LGA1151,0,64,4
ASRock B550 PG Riptide,178.74,AM4,0,128,4
Asus TUF GAMING B650-E WIFI,189.99,AM5,0,192,4
ASRock B450M-HDV,89.8,AM4,2,32,2
Asus ROG STRIX Z590-A GAMING WIFI,459.0,LGA1200,0,128,4
ASRock A520M Phantom Gaming 4,90.58,AM4,2,128,4
Asus WS X299 SAGE/10G,599.0,LGA2066,5,128,8
Gigabyte B550 AORUS ELITE AX,204.74,AM4,0,128,4
Asus TUF GAMING B760M-PLUS,214.0,LGA1700,2,192,4
ASRock H510M-HDV/M.2,129.99,LGA1200,2,64,2
Asus PRIME B650M-A WIFI,294.45,AM5,2,128,4
Gigabyte B760 GAMING X AX DDR4,218.28,LGA1700,0,128,4
Gigabyte Z390 AORUS PRO,370.25,LGA1151,0,128,4
Supermicro C9Z390-PGW,788.99,LGA1151,0,128,4
Asus ROG MAXIMUS XIII HERO,493.4,LGA1200,0,128,4
ASRock H310CM-HDV,179.99,LGA1151,2,32,2
ASRock B550 Extreme4,184.99,AM4,0,128,4
Gigabyte Z390 I AORUS PRO WIFI,235.22,LGA1151,4,64,2
MSI MEG Z590 UNIFY-X,250.9,LGA1200,0,128,4
Asus ROG Crosshair VIII Formula,499.99,AM4,0,128,4
Gigabyte Z790 AORUS ELITE DDR4,258.7,LGA1700,0,128,4
Asus ProArt Z690-CREATOR WIFI,629.0,LGA1700,0,192,4
Asus PRIME Z690-P,199.99,LGA1700,0,192,4
Supermicro MBD-X10SRL-F-O,511.84,LGA2011-3 Narrow,0,1024,8
Asus ROG Crosshair VIII Impact,510.43,AM4,3,64,2
Supermicro X11SCL-LN4F,294.99,LGA1151,2,128,4
Asus ROG STRIX Z390-H GAMING,339.99,LGA1151,0,128,4
Gigabyte Z790 AORUS ELITE AX-W,372.29,LGA1700,0,192,4
Biostar Z690 VALKYRIE,865.65,LGA1700,0,192,4
Gigabyte Z690 AORUS PRO,381.99,LGA1700,0,192,4
MSI MEG Z590 UNIFY,401.08,LGA1200,0,128,4
Asus PRIME B450M-K,169.9,AM4,2,32,2
Gigabyte B760M GAMING DDR4,138.26,LGA1700,2,64,2
ASRock A520M Pro4,99.99,AM4,2,128,4
Asus ROG STRIX B360-F GAMING,298.52,LGA1151,0,64,4
ASRock Z790 PG Lightning/D4,178.45,LGA1700,0,128,4
Asus ROG STRIX B560-A GAMING WIFI,389.0,LGA1200,0,128,4
ASRock B550 Taichi,184.02,AM4,0,128,4
Asus TUF GAMING A520M-PLUS,157.99,AM4,2,128,4
Gigabyte H410M S2H V2,89.83,LGA1200,2,64,2
Gigabyte H610M S2H DDR4,130.26,LGA1700,2,64,2
Asus PRO Q570M-C/CSM,154.0,LGA1200,2,128,4
Gigabyte Z590 VISION G,317.89,LGA1200,0,128,4
Gigabyte B460M DS3H V2,199.99,LGA1200,2,128,4
ASRock X370 Pro4,112.56,AM4,0,64,4
MSI MPG Z490 GAMING CARBON WIFI,349.0,LGA1200,0,128,4
Gigabyte Z490 VISION G,349.99,LGA1200,0,128,4
Asus PRIME B650M-A II-CSM,172.99,AM5,2,192,4
ASRock Z590 Phantom Gaming-ITX/TB4,399.0,LGA1200,4,64,2
Asus ProArt B660-CREATOR D4,219.99,LGA1700,0,128,4
ASRock Z490 Phantom Gaming-ITX/TB3,319.0,LGA1200,4,64,2
Gigabyte GA-Z97X-UD5H,406.49,LGA1150,0,32,4
Asus PRIME B650M-A-CSM,154.99,AM5,2,128,4
ASRock B450M Pro4-F R2.0,218.09,AM4,2,128,4
Gigabyte B550 AORUS PRO V2,254.42,AM4,0,128,4
NZXT N5 Z690,239.99,LGA1700,0,128,4
Asus Pro B760M-CT-CSM,131.83,LGA1700,2,192,4
Asus TUF GAMING B650M-E,235.69,AM5,2,128,4
Asus Pro B650M-CT-CSM,159.99,AM5,2,192,4
Gigabyte Z690 AORUS ELITE DDR4,249.99,LGA1700,0,128,4
Gigabyte Z690 AORUS ULTRA,304.99,LGA1700,0,192,4
Asus Pro B550M-C/CSM,119.99,AM4,2,128,4
Biostar B550MH,125.8,AM4,2,64,2
Gigabyte A520M DS3H,120.9,AM4,2,128,4
Asus TUF GAMING B660M-E D4,226.22,LGA1700,2,128,4
Asus B75M-Plus,340.08,LGA1155,2,32,4
MSI B450 Gaming Plus,168.84,AM4,0,64,4
MSI MAG B660M BAZOOKA DDR4,231.62,LGA1700,2,128,4
Asus Pro A620M-DASH-CSM,144.14,AM5,2,96,2
ASRock H310CM-ITX/ac,129.99,LGA1151,4,32,2
Gigabyte Z590 AORUS PRO AX,296.89,LGA1200,0,128,4
Gigabyte H610M H DDR4,111.56,LGA1700,2,64,2
ASRock Z390 Phantom Gaming 4,199.99,LGA1151,0,128,4
Gigabyte Z590 AORUS MASTER,367.49,LGA1200,0,128,4
Asus Rampage IV Black Edition,1109.92,LGA2011,1,128,8
Asus PRIME H410M-K,180.0,LGA1200,2,64,2
MSI MEG Z490I UNIFY,549.99,LGA1200,4,64,2
Asus ROG STRIX Z590-I GAMING WIFI,659.0,LGA1200,4,64,2
Gigabyte Z490 AORUS ELITE AC,349.99,LGA1200,0,128,4
Gigabyte H610M H,112.53,LGA1700,2,64,2
ASRock H670 Steel Legend,185.79,LGA1700,0,128,4
Asus ROG MAXIMUS XII FORMULA,654.0,LGA1200,0,128,4
Gigabyte Z690 UD DDR4,307.89,LGA1700,0,128,4
Gigabyte X570 UD,275.0,AM4,0,128,4
Gigabyte B560 AORUS PRO AX,294.89,LGA1200,0,128,4
ASRock H670 PG Riptide,149.99,LGA1700,0,128,4
ASRock Z390 Phantom Gaming-ITX/ac,425.0,LGA1151,4,64,2
Asus PRIME H510M-R R2.0,113.95,LGA1200,2,64,2
Gigabyte B660 AORUS Master DDR4,312.89,LGA1700,0,128,4
Asus TUF GAMING H670-PRO WIFI D4,270.62,LGA1700,0,128,4
Supermicro C7X99-OCE-O,700.0,LGA2011-3,0,128,8
Asus TUF GAMING B550M-ZAKU (WI-FI),347.46,AM4,2,128,4
Gigabyte B550 AORUS MASTER,406.99,AM4,0,128,4
ASRock B550 Taichi Razer Edition,199.99,AM4,0,128,4
Asus PRIME A320M-A,114.34,AM4,2,64,4
MSI MEG X570S ACE MAX,691.43,AM4,0,128,4
Asus Pro B660M-C D4-CSM,129.99,LGA1700,2,128,4
Gigabyte B660 DS3H DDR4,203.34,LGA1700,0,128,4
Gigabyte Z590 AORUS ULTRA,389.0,LGA1200,0,128,4
ASRock Z690 Steel Legend,215.51,LGA1700,0,128,4
ASRock EP2C612D16C-4L,391.98,2 x LGA2011-3 Narrow,6,1024,16
Asus TUF GAMING B660M-PLUS D4,239.91,LGA1700,2,128,4
ASRock Z590M Phantom Gaming 4,299.99,LGA1200,2,128,4
Supermicro MBD-X11SAE-F-O,281.06,LGA1151,0,64,4
Asus TUF Z390-PRO GAMING,350.0,LGA1151,0,128,4
Asus ROG MAXIMUS XI FORMULA,689.0,LGA1151,0,128,4
ASRock X299 Steel Legend,222.99,LGA2066,0,256,8
Asus ROG STRIX Z490-A GAMING,398.99,LGA1200,0,128,4
Supermicro X10SL7-F,218.29,LGA1150,2,32,4
ASRock Z690 Extreme WiFi 6E,236.55,LGA1700,0,128,4
Asus TUF GAMING B760M-E D4,203.7,LGA1700,2,128,4
Asus WS C246 PRO,332.45,LGA1151,0,64,4
MSI Z270 SLI PLUS,394.99,LGA1151,0,64,4
MSI MAG B460 TORPEDO,249.9,LGA1200,0,128,4
Gigabyte X570 AORUS XTREME,766.9,AM4,1,128,4
Gigabyte Z390 DESIGNARE,509.0,LGA1151,0,128,4
ASRock H610M-ITX/eDP,152.94,LGA1700,4,64,2
MSI Z370 SLI PLUS,375.0,LGA1151,0,64,4
Asus Z10PE-D16,467.78,2 x LGA2011-3 Narrow,6,1024,16
Asus PRIME H770-PLUS,238.17,LGA1700,0,192,4
Asus PRIME H610M-D D4,132.9,LGA1700,2,64,2
ASRock H670M Pro RS,139.99,LGA1700,2,128,4
Asus PRIME H510M-A/CSM,147.54,LGA1200,2,64,2
ASRock X399 Phantom Gaming 6,918.0,sTR4,0,128,8
ASRock Z590M Pro4,269.99,LGA1200,2,128,4
Asus Pro Q670M-C-CSM,169.19,LGA1700,2,128,4
Asus Pro WS X570-ACE,529.99,AM4,0,128,4
Gigabyte Z590I AORUS ULTRA,509.0,LGA1200,4,64,2
ASRock B365 Pro4,114.63,LGA1151,0,64,4
Asus WS X299 SAGE,519.45,LGA2066,5,128,8
Gigabyte B760 AORUS ELITE,272.26,LGA1700,0,192,4
ASRock Z270 Killer SLI/ac,706.49,LGA1151,0,64,4
MSI X299 PRO,303.27,LGA2066,0,256,8
Asus Maximus VI Gene,248.02,LGA1150,2,32,4
ASRock H310M-G/M.2,119.99,LGA1151,2,32,2
Asus PRO A520M-C II/CSM,92.99,AM4,2,64,2
Asus ROG MAXIMUS XII EXTREME,840.0,LGA1200,1,128,4
Gigabyte Z590 AORUS ELITE,294.94,LGA1200,0,128,4
Foxconn A7DA-S 3.0,90.0,AM3,0,8,4
MSI Z270 GAMING M5,481.49,LGA1151,0,64,4
Gigabyte Z490 AORUS MASTER,389.9,LGA1200,0,128,4
Supermicro MBD-X10DAL-I-O,657.91,2 x LGA2011-3,0,512,8
Gigabyte A520M AORUS ELITE,148.9,AM4,2,128,4
Gigabyte B760 AORUS MASTER DDR4,283.5,LGA1700,0,128,4
Gigabyte B660 AORUS Master,401.59,LGA1700,0,192,4
Asus MAXIMUS IX FORMULA,378.12,LGA1151,0,64,4
ASRock B560M Steel Legend,161.04,LGA1200,2,128,4
ASRock H310M-ITX/ac,139.99,LGA1151,4,32,2
MSI MEG Z490 ACE,399.0,LGA1200,0,128,4
Asus ROG Maximus XIII Extreme,699.99,LGA1200,1,128,4
Gigabyte X299 UD4 Pro,385.85,LGA2066,0,128,8
MSI Z270I GAMING PRO CARBON AC,401.99,LGA1151,4,32,2
MSI PRO B760M-G DDR4,182.15,LGA1700,2,64,2
Asus PRIME A320M-E,179.9,AM4,2,64,2
Gigabyte Z490 AORUS PRO AX,449.99,LGA1200,0,128,4
EVGA X299 Micro,311.82,LGA2066,2,128,4
Asus TUF GAMING Z590-PLUS,300.93,LGA1200,0,128,4
Asus PRIME H270-PLUS-CSM,1590.0,LGA1151,0,64,4
Supermicro X9SRA,569.95,LGA2011,0,64,8
Gigabyte Z370 AORUS GAMING WIFI (rev. 1.0),406.49,LGA1151,0,64,4
Asus PRIME A620M-E-CSM,144.88,AM5,2,96,2
Asus PRO H610M-CT D4-CSM,109.99,LGA1700,2,64,2
ASRock C246 WS,325.82,LGA1151,0,64,4
ASRock Z390 Extreme4,199.99,LGA1151,0,128,4
Supermicro C9X299-PGF,889.99,LGA2066,0,128,8
MSI MEG Z590 GODLIKE,699.99,LGA1200,1,128,4
ASRock H310M-HDV/M.2,199.99,LGA1151,2,32,2
ASRock X299 WSI/IPMI,369.99,LGA2066,4,64,4
MSI PRO-B660M-B-DDR4,270.0,LGA1700,2,64,2
Asus WS X299 PRO,700.31,LGA2066,0,128,8
Asus WS C246M PRO,330.37,LGA1151,2,128,4
Asus WS X299 PRO/SE,489.64,LGA2066,5,128,8
Intel DH61BEB3,493.01,LGA1155,2,8,2
Supermicro MBD-X11SSL-F-O,327.58,LGA1151,2,64,4
Supermicro C9Z390-CGW,667.39,LGA1151,0,128,4
ASRock Fatal1ty Z170 Gaming K4,349.99,LGA1151,0,64,4
Asus Pro H410M-C/CSM,104.99,LGA1200,2,64,2
Gigabyte Z590 AORUS XTREME,848.48,LGA1200,1,128,4
Supermicro MBD-X11SSV-Q-O,384.87,LGA1151,4,32,2
Gigabyte H510M S2H,175.0,LGA1200,2,64,2
ASRock X470D4U,320.77,AM4,2,64,4
Asus P10S WS,299.0,LGA1151,0,64,4
Supermicro MBD-X11SCV-Q-O,345.0,LGA1151,4,64,2
Gigabyte Z490 AORUS ULTRA,431.99,LGA1200,0,128,4
Gigabyte X299 DESIGNARE EX,769.0,LGA2066,0,128,8
ASRock B560 Steel Legend,176.34,LGA1200,0,128,4
ASRock X370 Killer SLI,219.99,AM4,0,64,4
ASRock X570D4U,440.59,AM4,2,128,4
Asus ROG Maximus XIII Apex,649.99,LGA1200,0,64,2
Gigabyte Q670M D3H,186.82,LGA1700,2,128,4
Gigabyte GA-B150N-GSM,133.04,LGA1151,4,32,2
Supermicro X9SRH-7TF,794.99,LGA2011,0,64,8
Asus Pro B560M-CT/CSM,199.0,LGA1200,2,128,4
Supermicro C9Z390-CG-IW,590.5,LGA1151,4,64,2
ASRock Fatal1ty Z370 Gaming K6,431.99,LGA1151,0,64,4
Asus Pro A620M-C-CSM,156.24,AM5,2,96,2
Gigabyte GA-Q170M-MK,193.11,LGA1151,2,64,4
Supermicro C9X299-PG300F,699.99,LGA2066,0,256,8
ASRock Z270 Killer SLI,706.49,LGA1151,0,64,4
Gigabyte Z490 GAMING X AX,317.0,LGA1200,0,128,4
Gigabyte GA-X58A-UD7,515.0,LGA1366,0,24,6
Gigabyte Z490 AORUS XTREME,735.9,LGA1200,1,128,4
ASRock C2750D4I,537.29,Integrated Atom C2750,4,64,4
Intel D525MW,148.02,Integrated Atom D525,4,4,2
ASRock X470D4U2-2T,638.45,AM4,2,64,4
ASRock X470 Master SLI,347.35,AM4,0,64,4
ASRock Z590 Taichi,527.23,LGA1200,0,128,4
EVGA Z590 DARK,799.0,LGA1200,1,64,2
ASRock Z490 PG Velocita,416.97,LGA1200,0,128,4
Supermicro C9Z490-PGW,697.03,LGA1200,0,128,4
EVGA Z490 DARK K|NGP|N,869.79,LGA1200,1,64,2
ASRock Z590 OC Formula,495.0,LGA1200,1,64,2
Gigabyte H370N WIFI,196.02,LGA1151,4,32,2
Supermicro MBD-X11SSH-LN4F,340.44,LGA1151,2,64,4
Supermicro X10SLM-F-O,345.99,LGA1150,2,32,4
Gigabyte H370M D3H GSM,168.29,LGA1151,2,64,4
Asus Crosshair IV Extreme,509.95,AM3,1,16,4
Gigabyte GA-Gaming B8,166.7,LGA1151,0,64,4
Gigabyte GA-X99-Gaming 5P,401.87,LGA2011-3,1,128,8
Supermicro A1SRI-2758F-O,437.28,Integrated Atom C2358,4,64,4
Supermicro C7Z87-OCE,516.09,LGA1150,0,32,4
Gigabyte Z590 AORUS TACHYON,498.08,LGA1200,1,64,2
Supermicro MBD-X11SBA-LN4F-O,344.42,Integrated Pentium N3700,4,8,2
Gigabyte GA-X150-PLUS WS,186.53,LGA1151,0,64,4
ASRock Z390 Phantom Gaming 6,199.99,LGA1151,0,128,4
Asus Z170-WS,2328.89,LGA1151,0,64,4
ASRock C246M WS,302.54,LGA1151,2,64,4
Supermicro C7Z170-OCE,536.24,LGA1151,0,64,4
ASRock EPC612D4U-8R,556.32,LGA2011-3 Narrow,2,512,4
